kunugi,5.55,2.27,1.89
kunugi,4.62,1.98,1.84
kunugi,5.05,2.08,1.90
kunugi,5.44,2.18,1.91
kunugi,5.60,2.20,1.93
kunugi,4.83,2.19,1.85
kunugi,5.55,2.16,2.00
kunugi,5.13,2.20,1.87
kunugi,6.03,2.26,2.01
kunugi,7.41,2.35,2.12
konara,1.60,2.11,1.10
konara,1.49,2.04,1.09
konara,1.74,2.30,1.17
konara,1.57,2.11,1.11
konara,1.88,2.33,1.11
konara,1.63,2.12,1.14
konara,1.45,2.06,1.09
konara,1.07,1.91,0.98
konara,1.53,2.17,1.17
konara,1.61,2.00,1.12
shirakashi,2.01,1.94,1.39
shirakashi,1.76,1.95,1.23
shirakashi,1.96,2.06,1.23
shirakashi,1.77,1.93,1.24
shirakashi,1.88,2.07,1.25
shirakashi,1.70,1.97,1.20
shirakashi,1.78,2.09,1.20
shirakashi,1.37,1.89,1.09
shirakashi,1.89,2.03,1.26
shirakashi,1.87,2.06,1.22
arakashi,1.68,1.89,1.23
arakashi,1.42,1.87,1.12
arakashi,1.54,1.82,1.15
arakashi,1.30,1.77,1.19
arakashi,1.56,1.88,1.18
arakashi,1.17,1.77,1.14
arakashi,1.53,1.81,1.18
arakashi,1.34,1.72,1.10
arakashi,1.47,1.85,1.13
arakashi,1.64,1.89,1.26
matebashii,2.96,2.75,1.35
matebashii,3.18,2.80,1.44
matebashii,3.08,2.73,1.42
matebashii,2.89,2.78,1.38
matebashii,3.68,2.83,1.51
matebashii,2.93,2.62,1.38
matebashii,2.30,2.50,1.26
matebashii,3.18,2.68,1.46
matebashii,3.13,2.76,1.40
matebashii,2.20,2.54,1.21
